-443,-37,108,-404,-34,59,589,-110,63,557,-71,-105,
-430,-34,79,-399,-55,63,556,-124,55,549,-68,-92,
-430,-34,79,-441,-69,48,502,-107,55,520,-47,-63,
-417,-53,98,-497,-49,25,502,-107,61,506,-17,-27,
-378,-56,109,-497,-49,25,451,-64,61,506,-17,-27,
-378,-56,109,-522,-40,5,473,-64,61,510,13,29,
-353,-36,89,-521,-64,-14,473,-60,51,478,6,79,
-391,-36,45,-521,-64,-14,567,-67,66,478,6,79,
-391,-36,45,-498,-60,-23,614,-67,66,437,2,119,
-469,-5,-8,-465,-48,-31,614,-55,99,464,6,104,
-528,3,-8,-465,-48,-31,594,-62,118,464,6,104,
-528,3,-14,-434,-39,-12,594,-62,118,513,-22,68,
-573,-23,-10,-410,-35,-12,565,-72,97,533,-48,68,
-603,-23,-10,-410,-35,29,545,-83,68,533,-48,28,
-603,-45,17,-393,-33,74,545,-83,68,538,-57,-23,
-591,-49,49,-387,-33,74,536,-85,84,531,-57,-23,
-565,-49,49,-387,-42,112,508,-89,107,531,-92,-48,
-565,-24,42,-397,-40,107,508,-89,107,541,-108,-20,
-527,-24,29,-431,-40,107,486,-84,105,569,-108,-20,
-527,-24,29,-431,-16,82,486,-59,85,569,-79,10,
-479,-30,48,-459,-34,76,486,-59,85,569,-68,7,
-443,-2,41,-459,-34,76,495,-74,49,569,-68,7,
-443,-2,41,-473,-55,74,516,-107,42,549,-60,-10,
-433,-5,28,-482,-42,56,516,-107,42,529,-56,-28,
-435,-18,13,-482,-42,56,539,-116,65,529,-56,-28,
-435,-18,13,-474,-30,45,559,-97,92,507,-54,-20,
-453,-12,-4,-457,-44,34,559,-97,92,493,-50,-10,
-504,-31,-6,-457,-44,34,568,-88,105,493,-50,-10,
-504,-31,-6,-452,-50,54,563,-74,118,487,-37,-5,
-518,-39,-45,-447,-30,83,563,-74,118,484,-21,-13,
-501,-47,-57,-447,-30,83,547,-68,124,484,-21,-13,
-501,-47,-57,-438,-24,70,559,-97,110,486,-32,-49,
-487,-62,-8,-453,-34,52,559,-97,110,487,-49,-43,
-477,-57,34,-453,-34,52,575,-105,97,487,-49,-43,
-477,-57,34,-460,-30,40,560,-95,97,481,-51,-5,
-432,-52,41,-460,-27,28,560,-95,80,471,-52,20,
-388,-55,57,-460,-27,28,579,-80,57,471,-52,20,
-388,-55,57,-441,-33,26,584,-80,57,490,-68,32,
-417,-63,71,-439,-39,34,584,-90,42,503,-57,37,
-434,-54,56,-439,-39,34,557,-101,39,503,-57,37,
-434,-54,56,-476,-48,22,557,-101,39,502,-55,33,
-425,-50,58,-480,-39,13,551,-84,41,515,-48,19,
-405,-51,65,-480,-39,13,552,-85,38,515,-48,19,
-405,-51,65,-479,-35,6,552,-85,38,514,-51,8,
-402,-67,72,-466,-46,-7,549,-99,50,496,-43,3,
-420,-84,68,-466,-46,-7,534,-93,81,496,-43,3,
-420,-84,68,-463,-61,-1,534,-93,81,492,-3,8,
-432,-49,32,-468,-55,6,504,-80,103,520,-2,23,
-451,-27,37,-429,-36,-1,500,-74,123,539,-7,40,
-523,-45,84,-404,-37,25,554,-89,124,555,-7,47,
-503,-19,81,-380,-55,88,549,-114,113,524,-25,-10,
-516,-26,42,-400,-49,92,528,-120,112,528,-34,-35,
-507,-52,35,-448,-19,145,518,-105,85,503,-56,-51,
-427,-42,21,-482,-40,85,549,-84,82,492,-37,-17,
-392,-51,13,-482,-40,85,577,-85,94,470,-37,-17,
-392,-51,13,-509,-61,33,587,-96,105,470,-2,40,
-386,-52,31,-483,-78,-7,587,-96,105,463,17,55,
-420,-65,37,-483,-78,-7,571,-97,94,463,17,55,
-420,-65,37,-468,-79,-23,555,-85,94,476,-4,55,
-442,-58,20,-477,-67,-37,555,-85,76,512,-24,42,
-512,-52,35,-477,-67,-37,566,-79,71,512,-24,42,
-512,-52,35,-449,-58,-40,565,-79,71,546,-33,13,
-578,-37,61,-426,-41,-16,565,-99,66,567,-50,-1,
-576,-15,92,-426,-41,-16,519,-96,66,567,-50,-1,
-576,-15,92,-406,-36,34,519,-96,66,574,-63,-20,
-528,-44,94,-406,-47,86,494,-81,76,544,-46,-33,
-473,-61,73,-406,-47,86,509,-71,71,544,-46,-33,
-473,-61,73,-445,-35,121,509,-71,71,527,-37,-52,
-440,-35,72,-475,-20,146,542,-66,59,516,-39,-64,
-415,-8,62,-475,-20,146,554,-106,63,516,-39,-64,
-415,-8,62,-490,-29,122,554,-106,63,491,-65,-31,
